Category: All categories

Month,cybersecurity: (United States)
2004-01,4
2004-02,5
2004-03,7
2004-04,9
2004-05,9
2004-06,3
2004-07,5
2004-08,4
2004-09,6
2004-10,6
2004-11,5
2004-12,5
2005-01,7
2005-02,5
2005-03,6
2005-04,7
2005-05,4
2005-06,6
2005-07,3
2005-08,2
2005-09,4
2005-10,5
2005-11,5
2005-12,3
2006-01,3
2006-02,3
2006-03,3
2006-04,4
2006-05,5
2006-06,3
2006-07,2
2006-08,2
2006-09,5
2006-10,3
2006-11,2
2006-12,2
2007-01,2
2007-02,2
2007-03,2
2007-04,2
2007-05,2
2007-06,3
2007-07,1
2007-08,1
2007-09,3
2007-10,3
2007-11,3
2007-12,2
2008-01,3
2008-02,3
2008-03,3
2008-04,3
2008-05,4
2008-06,2
2008-07,3
2008-08,3
2008-09,3
2008-10,4
2008-11,3
2008-12,4
2009-01,4
2009-02,5
2009-03,7
2009-04,18
2009-05,8
2009-06,11
2009-07,9
2009-08,11
2009-09,9
2009-10,16
2009-11,15
2009-12,8
2010-01,6
2010-02,10
2010-03,12
2010-04,12
2010-05,10
2010-06,12
2010-07,11
2010-08,7
2010-09,10
2010-10,10
2010-11,8
2010-12,6
2011-01,9
2011-02,11
2011-03,10
2011-04,8
2011-05,14
2011-06,16
2011-07,12
2011-08,11
2011-09,13
2011-10,15
2011-11,11
2011-12,11
2012-01,11
2012-02,17
2012-03,13
2012-04,18
2012-05,13
2012-06,12
2012-07,20
2012-08,18
2012-09,17
2012-10,19
2012-11,18
2012-12,11
2013-01,13
2013-02,26
2013-03,19
2013-04,23
2013-05,16
2013-06,15
2013-07,13
2013-08,13
2013-09,16
2013-10,19
2013-11,15
2013-12,11
2014-01,17
2014-02,23
2014-03,21
2014-04,21
2014-05,22
2014-06,22
2014-07,22
2014-08,20
2014-09,27
2014-10,31
2014-11,24
2014-12,23
2015-01,33
2015-02,43
2015-03,35
2015-04,36
2015-05,29
2015-06,37
2015-07,40
2015-08,39
2015-09,49
2015-10,58
2015-11,50
2015-12,48
2016-01,46
2016-02,85
2016-03,50
2016-04,50
2016-05,47
2016-06,45
2016-07,44
2016-08,49
2016-09,55
2016-10,62
2016-11,57
2016-12,53
2017-01,65
2017-02,67
2017-03,65
2017-04,63
2017-05,74
2017-06,68
2017-07,68
2017-08,69
2017-09,75
2017-10,84
2017-11,69
2017-12,59
2018-01,68
2018-02,75
2018-03,75
2018-04,79
2018-05,76
2018-06,74
2018-07,76
2018-08,82
2018-09,84
2018-10,100
2018-11,81
2018-12,70
2019-01,92
2019-02,92
2019-03,92
2019-04,96
2019-05,99
