Category: All categories

Month,machine learning: (United States)
2004-01,12
2004-02,23
2004-03,18
2004-04,16
2004-05,18
2004-06,15
2004-07,16
2004-08,10
2004-09,16
2004-10,13
2004-11,19
2004-12,12
2005-01,13
2005-02,13
2005-03,15
2005-04,12
2005-05,15
2005-06,11
2005-07,13
2005-08,10
2005-09,12
2005-10,13
2005-11,13
2005-12,10
2006-01,13
2006-02,11
2006-03,10
2006-04,13
2006-05,12
2006-06,6
2006-07,8
2006-08,9
2006-09,10
2006-10,10
2006-11,12
2006-12,8
2007-01,11
2007-02,11
2007-03,10
2007-04,10
2007-05,8
2007-06,8
2007-07,9
2007-08,7
2007-09,11
2007-10,12
2007-11,11
2007-12,7
2008-01,8
2008-02,11
2008-03,9
2008-04,11
2008-05,11
2008-06,8
2008-07,8
2008-08,7
2008-09,10
2008-10,11
2008-11,11
2008-12,10
2009-01,9
2009-02,11
2009-03,10
2009-04,10
2009-05,10
2009-06,8
2009-07,9
2009-08,9
2009-09,10
2009-10,12
2009-11,12
2009-12,9
2010-01,9
2010-02,11
2010-03,12
2010-04,14
2010-05,10
2010-06,9
2010-07,8
2010-08,9
2010-09,11
2010-10,10
2010-11,12
2010-12,10
2011-01,10
2011-02,13
2011-03,11
2011-04,13
2011-05,11
2011-06,10
2011-07,8
2011-08,11
2011-09,13
2011-10,18
2011-11,15
2011-12,13
2012-01,13
2012-02,15
2012-03,15
2012-04,15
2012-05,15
2012-06,13
2012-07,12
2012-08,12
2012-09,17
2012-10,16
2012-11,14
2012-12,13
2013-01,15
2013-02,16
2013-03,17
2013-04,17
2013-05,16
2013-06,15
2013-07,14
2013-08,14
2013-09,18
2013-10,22
2013-11,20
2013-12,16
2014-01,19
2014-02,23
2014-03,22
2014-04,23
2014-05,23
2014-06,22
2014-07,21
2014-08,23
2014-09,28
2014-10,27
2014-11,25
2014-12,24
2015-01,26
2015-02,28
2015-03,29
2015-04,35
2015-05,30
2015-06,31
2015-07,32
2015-08,33
2015-09,39
2015-10,38
2015-11,41
2015-12,34
2016-01,35
2016-02,38
2016-03,45
2016-04,45
2016-05,44
2016-06,45
2016-07,37
2016-08,43
2016-09,50
2016-10,56
2016-11,56
2016-12,56
2017-01,60
2017-02,72
2017-03,75
2017-04,79
2017-05,77
2017-06,78
2017-07,74
2017-08,75
2017-09,78
2017-10,94
2017-11,90
2017-12,80
2018-01,81
2018-02,91
2018-03,91
2018-04,92
2018-05,91
2018-06,91
2018-07,83
2018-08,87
2018-09,91
2018-10,98
2018-11,92
2018-12,81
2019-01,88
2019-02,94
2019-03,96
2019-04,100
2019-05,94
