Category: All categories

Month,Python: (United States)
2004-01,45
2004-02,40
2004-03,39
2004-04,39
2004-05,39
2004-06,38
2004-07,38
2004-08,38
2004-09,39
2004-10,38
2004-11,35
2004-12,38
2005-01,37
2005-02,38
2005-03,39
2005-04,37
2005-05,39
2005-06,38
2005-07,37
2005-08,37
2005-09,35
2005-10,63
2005-11,35
2005-12,36
2006-01,34
2006-02,36
2006-03,36
2006-04,36
2006-05,34
2006-06,33
2006-07,32
2006-08,34
2006-09,35
2006-10,34
2006-11,31
2006-12,29
2007-01,31
2007-02,31
2007-03,30
2007-04,30
2007-05,32
2007-06,32
2007-07,31
2007-08,31
2007-09,31
2007-10,33
2007-11,31
2007-12,30
2008-01,32
2008-02,33
2008-03,32
2008-04,34
2008-05,34
2008-06,33
2008-07,33
2008-08,32
2008-09,33
2008-10,33
2008-11,32
2008-12,32
2009-01,33
2009-02,36
2009-03,35
2009-04,34
2009-05,34
2009-06,33
2009-07,37
2009-08,33
2009-09,35
2009-10,41
2009-11,35
2009-12,32
2010-01,33
2010-02,35
2010-03,35
2010-04,35
2010-05,35
2010-06,34
2010-07,31
2010-08,32
2010-09,32
2010-10,34
2010-11,33
2010-12,31
2011-01,35
2011-02,37
2011-03,36
2011-04,36
2011-05,36
2011-06,36
2011-07,36
2011-08,35
2011-09,36
2011-10,37
2011-11,37
2011-12,32
2012-01,34
2012-02,38
2012-03,38
2012-04,38
2012-05,38
2012-06,37
2012-07,38
2012-08,40
2012-09,39
2012-10,39
2012-11,37
2012-12,35
2013-01,41
2013-02,44
2013-03,42
2013-04,42
2013-05,42
2013-06,41
2013-07,41
2013-08,45
2013-09,44
2013-10,46
2013-11,48
2013-12,42
2014-01,43
2014-02,48
2014-03,47
2014-04,47
2014-05,46
2014-06,46
2014-07,51
2014-08,45
2014-09,50
2014-10,52
2014-11,49
2014-12,44
2015-01,46
2015-02,53
2015-03,52
2015-04,55
2015-05,51
2015-06,56
2015-07,57
2015-08,53
2015-09,59
2015-10,61
2015-11,57
2015-12,52
2016-01,56
2016-02,66
2016-03,64
2016-04,64
2016-05,61
2016-06,65
2016-07,59
2016-08,56
2016-09,66
2016-10,68
2016-11,67
2016-12,62
2017-01,68
2017-02,81
2017-03,84
2017-04,81
2017-05,73
2017-06,77
2017-07,73
2017-08,74
2017-09,79
2017-10,86
2017-11,80
2017-12,71
2018-01,77
2018-02,89
2018-03,85
2018-04,88
2018-05,79
2018-06,88
2018-07,83
2018-08,84
2018-09,90
2018-10,100
2018-11,90
2018-12,76
2019-01,88
2019-02,97
2019-03,93
2019-04,99
2019-05,88
